연도,지자체,전기 사용량
2019,강원 강릉시,40483181
2017,강원 강릉시,42418767
2018,강원 강릉시,40959267
2019,강원 고성군,9237574
2017,강원 고성군,9435320
2018,강원 고성군,9044285
2019,강원 동해시,17863014
2017,강원 동해시,17328655
2018,강원 동해시,16398978
2019,강원 삼척시,9780074
2017,강원 삼척시,7875231
2018,강원 삼척시,6869821
2019,강원 속초시,6875485
2017,강원 속초시,6405218
2018,강원 속초시,5535720
2019,강원 양구군,3370588
2017,강원 양구군,4450250
2018,강원 양구군,3790137
2019,강원 양양군,5191900
2018,강원 양양군,5090734
2017,강원 양양군,5569318
2019,강원 영월군,7872150
2018,강원 영월군,7550114
2017,강원 영월군,7764394
2019,강원 원주시,27446737
2017,강원 원주시,27118955
2018,강원 원주시,28484190
2019,강원 인제군,10236028
2017,강원 인제군,9018024
2018,강원 인제군,8678053
2019,강원 정선군,2927302
2017,강원 정선군,3491190
2018,강원 정선군,2926487
2019,강원 철원군,4941768
2017,강원 철원군,5551406
2018,강원 철원군,5018480
2019,강원 춘천시,15443742
2018,강원 춘천시,16515104
2017,강원 춘천시,18558790
2019,강원 태백시,4141242
2017,강원 태백시,4391846
2018,강원 태백시,4002318
2019,강원 평창군,16725763
2017,강원 평창군,16583469
2018,강원 평창군,16833397
2019,강원 홍천군,3289466
2017,강원 홍천군,3179783
2018,강원 홍천군,3166654
2019,강원 화천군,2626189
2017,강원 화천군,2850303
2018,강원 화천군,2378960
2019,강원 횡성군,6925705
2018,강원 횡성군,6654829
2017,강원 횡성군,6658651
2019,경기 가평군,8209693
2018,경기 가평군,8967312
2017,경기 가평군,9102395
2019,경기 고양시,108589772
2017,경기 고양시,110911551
2018,경기 고양시,112567143.3
2019,경기 과천시,10242395
2017,경기 과천시,8448118
2018,경기 과천시,9547070
2019,경기 광명시,38445015
2017,경기 광명시,45178583
2018,경기 광명시,43546742
2019,경기 광주시,10428600
2017,경기 광주시,10403187
2018,경기 광주시,10633171
2019,경기 구리시,10119205.3
